Casos,Óbitos,Estação,Cidade,2a_dose,População estimada 2021,Estabelecimentos de Saúde 2021,Casos/10k,Óbitos/10k,Vacinados/10k,Estabelecimentos/10k
140,7,1,Água Branca,372,20263,22,69.09,3.45,183.59,10.86
253,6,1,Anadia,96,17507,12,144.51,3.43,54.84,6.85
3517,54,1,Arapiraca,1418,234309,342,150.10,2.30,60.52,14.60
92,7,1,Atalaia,144,47540,30,19.35,1.47,30.29,6.31
22,1,1,Barra de Santo Antônio,61,16201,12,13.58,0.62,37.65,7.41
63,1,1,Barra de São Miguel,37,8434,8,74.70,1.19,43.87,9.49
107,2,1,Batalha,64,18440,18,58.03,1.08,34.71,9.76
15,1,1,Belém,35,4226,5,35.49,2.37,82.82,11.83
31,2,1,Belo Monte,34,6717,9,46.15,2.98,50.62,13.40
130,3,1,Boca da Mata,143,27429,23,47.40,1.09,52.13,8.39
45,2,1,Branquinha,40,10426,11,43.16,1.92,38.37,10.55
95,0,1,Cacimbinhas,45,10920,12,87.00,0.00,41.21,10.99
40,3,1,Cajueiro,87,21397,15,18.69,1.40,40.66,7.01
30,1,1,Campestre,32,6972,5,43.03,1.43,45.90,7.17
455,19,1,Campo Alegre,339,57997,29,78.45,3.28,58.45,5.00
32,0,1,Campo Grande,36,9576,9,33.42,0.00,37.59,9.40
28,3,1,Canapi,51,17715,12,15.81,1.69,28.79,6.77
72,1,1,Capela,126,16907,17,42.59,0.59,74.53,10.06
28,0,1,Carneiros,41,9568,7,29.26,0.00,42.85,7.32
12,1,1,Chã Preta,34,7311,8,16.41,1.37,46.51,10.94
83,4,1,Coité do Nóia,49,10594,17,78.35,3.78,46.25,16.05
11,3,1,Colônia Leopoldina,75,21935,19,5.01,1.37,34.19,8.66
40,0,1,Coqueiro Seco,41,5882,6,68.00,0.00,69.70,10.20
657,4,1,Coruripe,442,57647,38,113.97,0.69,76.67,6.59
149,2,1,Craíbas,62,24396,18,61.08,0.82,25.41,7.38
964,19,1,Delmiro Gouveia,294,52501,62,183.62,3.62,56.00,11.81
146,3,1,Dois Riachos,0,11059,9,132.02,2.71,0.00,8.14
42,1,1,Estrela de Alagoas,44,18304,14,22.95,0.55,24.04,7.65
48,1,1,Feira Grande,302,22192,19,21.63,0.45,136.09,8.56
5,0,1,Feliz Deserto,21,4803,3,10.41,0.00,43.72,6.25
48,1,1,Flexeiras,71,12823,10,37.43,0.78,55.37,7.80
60,5,1,Girau do Ponciano,130,41549,26,14.44,1.20,31.29,6.26
49,2,1,Ibateguara,58,15637,10,31.34,1.28,37.09,6.40
93,1,1,Igaci,116,25596,19,36.33,0.39,45.32,7.42
105,2,1,Igreja Nova,87,24670,22,42.56,0.81,35.27,8.92
64,1,1,Inhapi,379,18398,13,34.79,0.54,206.00,7.07
21,0,1,Jacaré dos Homens,40,5185,10,40.50,0.00,77.15,19.29
30,1,1,Jacuípe,35,6992,3,42.91,1.43,50.06,4.29
41,1,1,Japaratinga,28,8444,6,48.56,1.18,33.16,7.11
3,0,1,Jaramataia,17,5751,5,5.22,0.00,29.56,8.69
30,0,1,Jequiá da Praia,53,11495,11,26.10,0.00,46.11,9.57
99,1,1,Joaquim Gomes,1010,24167,16,40.96,0.41,417.93,6.62
14,0,1,Jundiá,26,4119,4,33.99,0.00,63.12,9.71
74,2,1,Junqueiro,104,24716,36,29.94,0.81,42.08,14.57
33,4,1,Lagoa da Canoa,93,17692,22,18.65,2.26,52.57,12.43
124,4,1,Limoeiro de Anadia,147,28904,30,42.90,1.38,50.86,10.38
20005,320,1,Maceió,19068,1031597,1614,193.92,3.10,184.84,15.65
52,2,1,Major Isidoro,57,19923,13,26.10,1.00,28.61,6.53
7,0,1,Mar Vermelho,20,33351,4,2.10,0.00,6.00,1.20
376,8,1,Maragogi,149,8850,24,424.86,9.04,168.36,27.12
26,2,1,Maravilha,34,52848,12,4.92,0.38,6.43,2.27
1001,10,1,Marechal Deodoro,341,13123,42,762.78,7.62,259.85,32.00
19,1,1,Maribondo,48,3474,16,54.69,2.88,138.17,46.06
71,3,1,Mata Grande,76,25200,11,28.17,1.19,30.16,4.37
46,2,1,Matriz de Camaragibe,61,24627,19,18.68,0.81,24.77,7.72
75,2,1,Messias,111,18201,12,41.21,1.10,60.99,6.59
11,3,1,Minador do Negrão,41,5315,6,20.70,5.64,77.14,11.29
19,1,1,Monteirópolis,23,7171,10,26.50,1.39,32.07,13.95
140,3,1,Murici,211,28428,16,49.25,1.06,74.22,5.63
31,1,1,Novo Lino,50,12837,10,24.15,0.78,38.95,7.79
48,2,1,Olho d'Água das Flores,131,21690,14,22.13,0.92,60.40,6.45
18,0,1,Olho d'Água do Casado,36,9507,5,18.93,0.00,37.87,5.26
5,2,1,Olho d'Água Grande,45,5133,8,9.74,3.90,87.67,15.59
97,0,1,Olivença,26,11681,8,83.04,0.00,22.26,6.85
43,1,1,Ouro Branco,35,11573,9,37.16,0.86,30.24,7.78
14,0,1,Palestina,25,5061,5,27.66,0.00,49.40,9.88
734,12,1,Palmeira dos Índios,1590,73452,90,99.93,1.63,216.47,12.25
87,7,1,Pão de Açúcar,119,24307,26,35.79,2.88,48.96,10.70
169,0,1,Pariconha,1922,10546,17,160.25,0.00,1822.49,16.12
24,0,1,Paripueira,55,13484,11,17.80,0.00,40.79,8.16
40,0,1,Passo de Camaragibe,53,15270,14,26.20,0.00,34.71,9.17
20,0,1,Paulo Jacinto,47,7556,7,26.47,0.00,62.20,9.26
582,2,1,Penedo,737,64005,95,90.93,0.31,115.15,14.84
135,2,1,Piaçabuçu,55,17868,18,75.55,1.12,30.78,10.07
414,2,1,Pilar,231,35310,22,117.25,0.57,65.42,6.23
5,0,1,Pindoba,25,2903,4,17.22,0.00,86.12,13.78
195,5,1,Piranhas,210,25324,30,77.00,1.97,82.93,11.85
115,0,1,Poço das Trincheiras,21,14447,16,79.60,0.00,14.54,11.07
59,1,1,Porto Calvo,94,27331,25,21.59,0.37,34.39,9.15
29,1,1,Porto de Pedras,32,7618,10,38.07,1.31,42.01,13.13
32,0,1,Porto Real do Colégio,802,20158,17,15.87,0.00,397.86,8.43
136,5,1,Quebrangulo,74,11202,12,121.41,4.46,66.06,10.71
556,14,1,Rio Largo,557,75662,47,73.48,1.85,73.62,6.21
17,1,1,Roteiro,35,6634,6,25.63,1.51,52.76,9.04
81,2,1,Santa Luzia do Norte,51,7344,7,110.29,2.72,69.44,9.53
1013,7,1,Santana do Ipanema,199,47910,57,211.44,1.46,41.54,11.90
151,1,1,Santana do Mundaú,56,10637,10,141.96,0.94,52.65,9.40
21,3,1,São Brás,37,6977,10,30.10,4.30,53.03,14.33
87,4,1,São José da Laje,90,24064,19,36.15,1.66,37.40,7.90
86,5,1,São José da Tapera,110,32462,21,26.49,1.54,33.89,6.47
49,1,1,São Luís do Quitunde,118,34825,23,14.07,0.29,33.88,6.60
284,15,1,São Miguel dos Campos,385,62328,48,45.57,2.41,61.77,7.70
21,0,1,São Miguel dos Milagres,28,8073,6,26.01,0.00,34.68,7.43
108,5,1,São Sebastião,743,34424,42,31.37,1.45,215.84,12.20
180,1,1,Satuba,76,14042,15,128.19,0.71,54.12,10.68
57,0,1,Senador Rui Palmeira,37,13893,8,41.03,0.00,26.63,5.76
51,0,1,Tanque d'Arca,21,6115,5,83.40,0.00,34.34,8.18
142,5,1,Taquarana,103,20162,24,70.43,2.48,51.09,11.90
87,6,1,Teotônio Vilela,212,44570,46,19.52,1.35,47.57,10.32
31,2,1,Traipu,163,27934,17,11.10,0.72,58.35,6.09
320,13,1,União dos Palmares,303,65963,52,48.51,1.97,45.93,7.88
303,2,1,Viçosa,255,25655,24,118.11,0.78,99.40,9.35
102,4,2,Água Branca,2041,20263,22,50.34,1.97,1007.25,10.86
417,13,2,Anadia,1618,17507,12,238.19,7.43,924.20,6.85
7720,166,2,Arapiraca,19259,234309,342,329.48,7.08,821.95,14.60
357,15,2,Atalaia,2875,47540,30,75.09,3.16,604.75,6.31
211,10,2,Barra de Santo Antônio,980,16201,12,130.24,6.17,604.90,7.41
237,1,2,Barra de São Miguel,427,8434,8,281.01,1.19,506.28,9.49
276,2,2,Batalha,1515,18440,18,149.67,1.08,821.58,9.76
34,0,2,Belém,542,4226,5,80.45,0.00,1282.54,11.83
68,2,2,Belo Monte,565,6717,9,101.24,2.98,841.15,13.40
285,14,2,Boca da Mata,2161,27429,23,103.90,5.10,787.85,8.39
158,1,2,Branquinha,768,10426,11,151.54,0.96,736.62,10.55
241,5,2,Cacimbinhas,981,10920,12,220.70,4.58,898.35,10.99
115,2,2,Cajueiro,1288,21397,15,53.75,0.93,601.95,7.01
118,2,2,Campestre,480,6972,5,169.25,2.87,688.47,7.17
608,18,2,Campo Alegre,2374,57997,29,104.83,3.10,409.33,5.00
191,1,2,Campo Grande,770,9576,9,199.46,1.04,804.09,9.40
212,1,2,Canapi,1519,17715,12,119.67,0.56,857.47,6.77
231,3,2,Capela,1249,16907,17,136.63,1.77,738.75,10.06
78,4,2,Carneiros,590,9568,7,81.52,4.18,616.64,7.32
205,5,2,Chã Preta,595,7311,8,280.40,6.84,813.84,10.94
145,7,2,Coité do Nóia,1118,10594,17,136.87,6.61,1055.31,16.05
57,3,2,Colônia Leopoldina,1240,21935,19,25.99,1.37,565.31,8.66
81,0,2,Coqueiro Seco,536,5882,6,137.71,0.00,911.25,10.20
1081,7,2,Coruripe,3114,57647,38,187.52,1.21,540.18,6.59
212,8,2,Craíbas,1790,24396,18,86.90,3.28,733.73,7.38
1074,41,2,Delmiro Gouveia,3678,52501,62,204.57,7.81,700.56,11.81
190,0,2,Dois Riachos,950,11059,9,171.81,0.00,859.03,8.14
103,4,2,Estrela de Alagoas,1681,18304,14,56.27,2.19,918.38,7.65
171,5,2,Feira Grande,1936,22192,19,77.05,2.25,872.39,8.56
25,0,2,Feliz Deserto,444,4803,3,52.05,0.00,924.42,6.25
243,11,2,Flexeiras,891,12823,10,189.50,8.58,694.85,7.80
276,10,2,Girau do Ponciano,3164,41549,26,66.43,2.41,761.51,6.26
64,4,2,Ibateguara,1132,15637,10,40.93,2.56,723.92,6.40
492,9,2,Igaci,2385,25596,19,192.22,3.52,931.79,7.42
318,3,2,Igreja Nova,1929,24670,22,128.90,1.22,781.92,8.92
222,3,2,Inhapi,1339,18398,13,120.67,1.63,727.80,7.07
91,1,2,Jacaré dos Homens,533,5185,10,175.51,1.93,1027.97,19.29
62,1,2,Jacuípe,487,6992,3,88.67,1.43,696.51,4.29
182,6,2,Japaratinga,481,8444,6,215.54,7.11,569.64,7.11
33,0,2,Jaramataia,399,5751,5,57.38,0.00,693.79,8.69
132,0,2,Jequiá da Praia,794,11495,11,114.83,0.00,690.74,9.57
29,3,2,Joaquim Gomes,1395,24167,16,12.00,1.24,577.23,6.62
86,0,2,Jundiá,391,4119,4,208.79,0.00,949.26,9.71
329,15,2,Junqueiro,1904,24716,36,133.11,6.07,770.35,14.57
320,3,2,Lagoa da Canoa,1733,17692,22,180.87,1.70,979.54,12.43
339,4,2,Limoeiro de Anadia,2676,28904,30,117.28,1.38,925.82,10.38
24482,807,2,Maceió,85764,1031597,1614,237.32,7.82,831.37,15.65
186,10,2,Major Isidoro,1440,19923,13,93.36,5.02,722.78,6.53
92,1,2,Mar Vermelho,426,33351,4,27.59,0.30,127.73,1.20
473,16,2,Maragogi,1854,8850,24,534.46,18.08,2094.92,27.12
129,4,2,Maravilha,852,52848,12,24.41,0.76,161.22,2.27
1942,45,2,Marechal Deodoro,3690,13123,42,1479.84,34.29,2811.86,32.00
65,4,2,Maribondo,1244,3474,16,187.10,11.51,3580.89,46.06
136,4,2,Mata Grande,1917,25200,11,53.97,1.59,760.71,4.37
196,9,2,Matriz de Camaragibe,1590,24627,19,79.59,3.65,645.63,7.72
284,3,2,Messias,1011,18201,12,156.04,1.65,555.46,6.59
35,1,2,Minador do Negrão,567,5315,6,65.85,1.88,1066.79,11.29
49,1,2,Monteirópolis,633,7171,10,68.33,1.39,882.72,13.95
406,20,2,Murici,1682,28428,16,142.82,7.04,591.67,5.63
39,3,2,Novo Lino,675,12837,10,30.38,2.34,525.82,7.79
187,13,2,Olho d'Água das Flores,1617,21690,14,86.21,5.99,745.50,6.45
40,3,2,Olho d'Água do Casado,630,9507,5,42.07,3.16,662.67,5.26
29,3,2,Olho d'Água Grande,406,5133,8,56.50,5.84,790.96,15.59
183,6,2,Olivença,929,11681,8,156.66,5.14,795.31,6.85
193,1,2,Ouro Branco,1024,11573,9,166.77,0.86,884.82,7.78
87,0,2,Palestina,478,5061,5,171.90,0.00,944.48,9.88
1349,47,2,Palmeira dos Índios,6558,73452,90,183.66,6.40,892.83,12.25
96,7,2,Pão de Açúcar,1812,24307,26,39.49,2.88,745.46,10.70
143,2,2,Pariconha,1121,10546,17,135.60,1.90,1062.96,16.12
114,9,2,Paripueira,956,13484,11,84.54,6.67,708.99,8.16
223,4,2,Passo de Camaragibe,945,15270,14,146.04,2.62,618.86,9.17
63,3,2,Paulo Jacinto,836,7556,7,83.38,3.97,1106.41,9.26
1123,34,2,Penedo,5054,64005,95,175.46,5.31,789.63,14.84
232,4,2,Piaçabuçu,1415,17868,18,129.84,2.24,791.92,10.07
1150,10,2,Pilar,2906,35310,22,325.69,2.83,823.00,6.23
15,0,2,Pindoba,285,2903,4,51.67,0.00,981.74,13.78
368,3,2,Piranhas,1288,25324,30,145.32,1.18,508.61,11.85
175,3,2,Poço das Trincheiras,780,14447,16,121.13,2.08,539.90,11.07
262,17,2,Porto Calvo,1723,27331,25,95.86,6.22,630.42,9.15
164,7,2,Porto de Pedras,442,7618,10,215.28,9.19,580.20,13.13
116,5,2,Porto Real do Colégio,2121,20158,17,57.55,2.48,1052.19,8.43
251,4,2,Quebrangulo,1011,11202,12,224.07,3.57,902.52,10.71
1293,44,2,Rio Largo,3828,75662,47,170.89,5.82,505.93,6.21
145,3,2,Roteiro,458,6634,6,218.57,4.52,690.38,9.04
104,1,2,Santa Luzia do Norte,606,7344,7,141.61,1.36,825.16,9.53
1312,33,2,Santana do Ipanema,3899,47910,57,273.85,6.89,813.82,11.90
278,7,2,Santana do Mundaú,850,10637,10,261.35,6.58,799.10,9.40
42,0,2,São Brás,693,6977,10,60.20,0.00,993.26,14.33
230,11,2,São José da Laje,1654,24064,19,95.58,4.57,687.33,7.90
218,10,2,São José da Tapera,2093,32462,21,67.16,3.08,644.75,6.47
