Município,Código [-],População estimada 2021,Densidade demografica 2021,IDHM_2010,Estabelecimentos de Saúde 2021,Estabelecimentos/10k_habitantes,Óbitos totais,2a_dose,Óbitos/10k_habitantes,Vacinados/10k_habitantes
Água Branca,2700102,20263,43.28,549,22,10.86,30,14244,14.81,7029.56
Anadia,2700201,17507,94.06,568,12,6.85,37,10896,21.13,6223.80
Arapiraca,2700300,234309,677.87,649,342,14.60,560,145750,23.90,6220.42
Atalaia,2700409,47540,89.15,561,30,6.31,56,24911,11.78,5240.01
Barra de Santo Antônio,2700508,16201,123.33,557,12,7.41,33,8155,20.37,5033.64
Barra de São Miguel,2700607,8434,113.59,615,8,9.49,10,5679,11.86,6733.46
Batalha,2700706,18440,58.38,594,18,9.76,23,11688,12.47,6338.39
Belém,2700805,4226,63.43,593,5,11.83,9,3249,21.30,7688.12
Belo Monte,2700904,6717,20.10,517,9,13.40,8,5047,11.91,7513.77
Boca da Mata,2701001,27429,142.12,604,23,8.39,50,16205,18.23,5907.98
Branquinha,2701100,10426,62.04,513,11,10.55,16,5946,15.35,5703.05
Cacimbinhas,2701209,10920,38.77,531,12,10.99,12,7051,10.99,6456.96
Cajueiro,2701308,21397,226.77,562,15,7.01,33,11199,15.42,5233.91
Campestre,2701357,6972,105.78,559,5,7.17,6,3773,8.61,5411.65
Campo Alegre,2701407,57997,185.46,0.57,29,5.00,84,23926,14.48,4125.39
Campo Grande,2701506,9576,56.28,524,9,9.40,11,4913,11.49,5130.53
Canapi,2701605,17715,29.39,506,12,6.77,13,11985,7.34,6765.45
Capela,2701704,16907,64.11,573,17,10.06,20,9702,11.83,5738.45
Carneiros,2701803,9568,93.94,526,7,7.32,11,5465,11.50,5711.75
Chã Preta,2701902,7311,46.32,575,8,10.94,11,4938,15.05,6754.21
Coité do Nóia,2702009,10594,119.36,533,17,16.05,22,8059,20.77,7607.14
Colônia Leopoldina,2702108,21935,105.49,517,19,8.66,21,9096,9.57,4146.80
