epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202044,2020-10-31,238,AL,,27,state,90789,2708.8717,118,2238,4,0.0247,3351543,False,False
202044,2020-10-30,237,AL,,27,state,90671,2705.35094,107,2234,4,0.0246,3351543,False,False
202044,2020-10-29,236,AL,,27,state,90564,2702.15838,67,2230,4,0.0246,3351543,False,False
202044,2020-10-28,235,AL,,27,state,90497,2700.1593,113,2226,5,0.0246,3351543,False,False
202044,2020-10-27,234,AL,,27,state,90384,2696.78772,130,2221,5,0.0246,3351543,False,False
202044,2020-10-26,233,AL,,27,state,90254,2692.90891,77,2216,5,0.0246,3351543,False,False
202044,2020-10-25,232,AL,,27,state,90177,2690.61146,53,2211,5,0.0245,3351543,False,False
202043,2020-10-24,231,AL,,27,state,90124,2689.0301,130,2206,5,0.0245,3351543,False,False
202043,2020-10-23,230,AL,,27,state,89994,2685.15129,147,2201,5,0.0245,3351543,False,False
202043,2020-10-22,229,AL,,27,state,89847,2680.76525,101,2196,4,0.0244,3351543,False,False
202043,2020-10-21,228,AL,,27,state,89746,2677.75171,102,2192,5,0.0244,3351543,False,False
202043,2020-10-20,227,AL,,27,state,89644,2674.70834,116,2187,5,0.0244,3351543,False,False
202043,2020-10-19,226,AL,,27,state,89528,2671.24724,35,2182,5,0.0244,3351543,False,False
202043,2020-10-18,225,AL,,27,state,89493,2670.20295,128,2177,5,0.0243,3351543,False,False
202042,2020-10-17,224,AL,,27,state,89365,2666.38381,87,2172,5,0.0243,3351543,False,False
202042,2020-10-16,223,AL,,27,state,89278,2663.78799,86,2167,5,0.0243,3351543,False,False
202042,2020-10-15,222,AL,,27,state,89192,2661.22201,110,2162,5,0.0242,3351543,False,False
202042,2020-10-14,221,AL,,27,state,89082,2657.93994,128,2157,6,0.0242,3351543,False,False
202042,2020-10-13,220,AL,,27,state,88954,2654.1208,74,2151,7,0.0242,3351543,False,False
202042,2020-10-12,219,AL,,27,state,88880,2651.91287,54,2144,6,0.0241,3351543,False,False
202042,2020-10-11,218,AL,,27,state,88826,2650.30167,36,2138,6,0.0241,3351543,False,False
202041,2020-10-10,217,AL,,27,state,88790,2649.22753,137,2132,6,0.024,3351543,False,False
202041,2020-10-09,216,AL,,27,state,88653,2645.13987,115,2126,5,0.024,3351543,False,False
202041,2020-10-08,215,AL,,27,state,88538,2641.70861,112,2121,6,0.024,3351543,False,False
202041,2020-10-07,214,AL,,27,state,88426,2638.36687,143,2115,6,0.0239,3351543,False,False
202041,2020-10-06,213,AL,,27,state,88283,2634.10017,148,2109,6,0.0239,3351543,False,False
202041,2020-10-05,212,AL,,27,state,88135,2629.6843,37,2103,6,0.0239,3351543,False,False
202041,2020-10-04,211,AL,,27,state,88098,2628.58033,170,2097,6,0.0238,3351543,False,False
202040,2020-10-03,210,AL,,27,state,87928,2623.50804,178,2091,6,0.0238,3351543,False,False
202040,2020-10-02,209,AL,,27,state,87750,2618.19705,246,2085,7,0.0238,3351543,False,False
202040,2020-10-01,208,AL,,27,state,87504,2610.85715,625,2078,6,0.0237,3351543,False,False

