BR Cod Mun Infecção,NM MUN (MUNINF.csv),Year of BR Data de Notificação,Number of Records
110001,Alta Floresta D'Oeste,2018,2
110001,Alta Floresta D'Oeste,2017,2
110001,Alta Floresta D'Oeste,2016,6
110001,Alta Floresta D'Oeste,2015,30
110001,Alta Floresta D'Oeste,2014,79
110001,Alta Floresta D'Oeste,2013,73
110001,Alta Floresta D'Oeste,2012,36
110001,Alta Floresta D'Oeste,2011,17
110001,Alta Floresta D'Oeste,2010,41
110001,Alta Floresta D'Oeste,2009,79
110001,Alta Floresta D'Oeste,2008,210
110001,Alta Floresta D'Oeste,2007,263
110002,Ariquemes,2018,633
110002,Ariquemes,2017,117
110002,Ariquemes,2016,98
110002,Ariquemes,2015,55
110002,Ariquemes,2014,81
110002,Ariquemes,2013,176
110002,Ariquemes,2012,209
110002,Ariquemes,2011,514
110002,Ariquemes,2010,1264
110002,Ariquemes,2009,1093
110002,Ariquemes,2008,1156
110002,Ariquemes,2007,1867
110003,Cabixi,2018,1
110003,Cabixi,2017,1
110003,Cabixi,2016,3
110003,Cabixi,2013,1
110003,Cabixi,2011,1
110003,Cabixi,2010,6
110003,Cabixi,2009,2
110003,Cabixi,2007,11
110004,Cacoal,2018,2
110004,Cacoal,2017,5
110004,Cacoal,2016,1
110004,Cacoal,2015,5
110004,Cacoal,2014,2
110004,Cacoal,2013,5
110004,Cacoal,2012,14
110004,Cacoal,2011,10
110004,Cacoal,2010,22
110004,Cacoal,2009,31
110004,Cacoal,2008,31
110004,Cacoal,2007,43
110005,Cerejeiras,2016,1
110005,Cerejeiras,2012,1
110005,Cerejeiras,2011,1
110005,Cerejeiras,2010,3
110005,Cerejeiras,2008,4
110005,Cerejeiras,2007,8
110006,Colorado do Oeste,2018,1
110006,Colorado do Oeste,2015,1
110006,Colorado do Oeste,2013,1
110006,Colorado do Oeste,2012,1
110006,Colorado do Oeste,2011,1
110006,Colorado do Oeste,2010,1
110006,Colorado do Oeste,2008,3
110006,Colorado do Oeste,2007,7
110007,Corumbiara,2012,1
110007,Corumbiara,2011,1
110007,Corumbiara,2010,4
110007,Corumbiara,2009,2
110007,Corumbiara,2008,3
110007,Corumbiara,2007,4
110008,Costa Marques,2018,11
110008,Costa Marques,2017,16
110008,Costa Marques,2016,94
110008,Costa Marques,2015,55
110008,Costa Marques,2014,42
110008,Costa Marques,2013,110
110008,Costa Marques,2012,196
110008,Costa Marques,2011,180
110008,Costa Marques,2010,390
110008,Costa Marques,2009,226
110008,Costa Marques,2008,292
110008,Costa Marques,2007,522
110009,Espigão D'Oeste,2018,1
110009,Espigão D'Oeste,2015,4
110009,Espigão D'Oeste,2014,2
110009,Espigão D'Oeste,2013,2
110009,Espigão D'Oeste,2012,16
110009,Espigão D'Oeste,2011,19
110009,Espigão D'Oeste,2010,960
110009,Espigão D'Oeste,2009,1047
110009,Espigão D'Oeste,2008,861
110009,Espigão D'Oeste,2007,54
110010,Guajará-Mirim,2018,316
110010,Guajará-Mirim,2017,311
