Municipio,mean,median,sum
Abaetetuba,3.8181818181818183,4.0,42
Abel Figueiredo,3.142857142857143,2.0,22
Acará,7.8,7.5,78
Acorizal,1.75,1.5,7
Acrelândia,197.0,96.5,2364
Afuá,856.3333333333334,667.5,10276
Aguiarnópolis,7.0,7.0,7
Alcântara,95.8,49.5,958
Aldeias Altas,1.0,1.0,1
Alenquer,571.25,493.5,6855
Almeirim,575.5833333333334,623.5,6907
Alta Floresta,6.444444444444445,6.0,58
Alta Floresta D'Oeste,69.83333333333333,38.5,838
Altamira,1036.8333333333333,859.5,12442
Altamira do Maranhão,3.0,2.0,15
Alto Alegre,962.3333333333334,983.5,11548
Alto Alegre do Maranhão,31.375,7.0,251
Alto Alegre do Pindaré,14.833333333333334,8.0,89
Alto Alegre dos Parecis,5.0,4.5,40
Alto Araguaia,1.5,1.5,3
Alto Boa Vista,1.0,1.0,1
Alto Paraíso,699.4166666666666,271.0,8393
Alto Taquari,1.0,1.0,2
Alvarães,1996.3333333333333,1762.0,23956
Alvorada D'Oeste,57.25,33.0,687
Amajari,1024.6666666666667,1151.0,12296
Amapá,27.833333333333332,26.5,334
Amapá do Maranhão,61.25,41.5,735
Amarante do Maranhão,7.5,7.5,15
Amaturá,72.81818181818181,25.0,801
Anajás,10631.833333333334,7365.0,127582
Anamã,39.333333333333336,7.5,472
Ananindeua,20.25,9.0,243
Ananás,1.0,1.0,1
Anapu,808.5833333333334,472.0,9703
Anapurus,1.0,1.0,1
Anori,32.81818181818182,3.0,361
Apiacás,29.636363636363637,20.0,326
Apicum-Açu,8.2,9.0,41
Apuí,288.75,189.5,3465
Aragominas,5.0,5.0,5
Araguacema,1.0,1.0,1
Araguaiana,1.0,1.0,1
Araguanã,12.8,9.5,128
Araguatins,6.888888888888889,4.0,62
Araguaína,1.0,1.0,1
Arame,3.909090909090909,2.0,43
Arari,1.0,1.0,1
Arenápolis,1.0,1.0,1
Aripuanã,225.41666666666666,140.0,2705
Ariquemes,605.25,361.5,7263
Assis Brasil,5.545454545454546,2.0,61
Atalaia do Norte,3508.5833333333335,3304.5,42103
Augustinópolis,1.0,1.0,2
Augusto Corrêa,151.625,101.0,1213
Aurora do Pará,161.72727272727272,16.0,1779
Aurora do Tocantins,1.0,1.0,1
Autazes,1163.4166666666667,522.5,13961
Aveiro,10.5,6.5,105
Axixá,33.4,20.0,167
Axixá do Tocantins,1.5,1.5,3
Açailândia,3.2,3.0,16
Babaçulândia,1.0,1.0,1
Bacabal,29.333333333333332,23.0,264
Bacabeira,1.5,1.5,3
Bacuri,1.3333333333333333,1.0,4
Bagre,2179.8333333333335,95.0,26158
Baião,254.16666666666666,241.5,3050
Balsas,1.25,1.0,5
Bannach,17.571428571428573,16.0,123
Barcarena,7.5,7.5,60
Barcelos,4340.5,3941.5,52086
Barra do Bugres,1.8571428571428572,1.0,13
Barra do Corda,2.0,1.5,12
Barreirinha,2.75,2.0,22
Barreirinhas,1.2,1.0,6
Bela Vista do Maranhão,8.0,7.0,40
Belterra,13.555555555555555,8.0,122
Belágua,1.0,1.0,1
Belém,62.833333333333336,66.5,754
Benedito Leite,13.0,13.0,13
Benevides,3.5,2.5,21
Benjamin Constant,624.8333333333334,364.5,7498
Bequimão,5.25,3.5,21
Bernardo do Mearim,1.0,1.0,1
Beruri,296.6666666666667,163.5,3560
Boa Vista,267.9166666666667,259.5,3215
Boa Vista do Gurupi,70.22222222222223,25.0,632
Boa Vista do Ramos,7.777777777777778,3.0,70
Boca do Acre,380.25,268.5,4563
Bom Jardim,23.09090909090909,9.0,254
Bom Jesus das Selvas,4.857142857142857,2.0,34
Bom Jesus do Araguaia,1.5,1.5,3
Bom Jesus do Tocantins,71.9090909090909,15.0,791
Bonfim,391.6666666666667,287.5,4700
Bonito,1.0,1.0,3
Borba,1748.75,624.5,20985
Bragança,79.0,42.5,632
Brasil Novo,146.42857142857142,170.0,1025
Brasiléia,4.0,3.5,32
Brasnorte,41.6,9.5,416
Brejo,1.5,1.5,6
Brejo Grande do Araguaia,6.625,1.5,53
Brejo de Areia,6.25,2.5,50
Breu Branco,404.54545454545456,267.0,4450
Breves,1896.8333333333333,1340.5,22762
Bujari,51.0,14.5,612
Bujaru,22.5,3.5,180
Buriti,1.5,1.5,6
Buriti Bravo,13.0,13.0,26
Buriti do Tocantins,1.0,1.0,2
Buriticupu,8.666666666666666,4.5,52
Buritirana,1.0,1.0,1
Buritis,477.0833333333333,170.5,5725
Caapiranga,492.1666666666667,132.5,5906
Cabixi,3.25,1.5,26
Cacaulândia,27.916666666666668,11.0,335
Cachoeira Grande,16.2,11.0,81
Cachoeira do Arari,23.9,14.0,239
Cachoeira do Piriá,791.2,396.5,7912
Cacoal,14.25,7.5,171
Cajapió,1.0,1.0,1
Cajari,26.0,26.0,52
Calçoene,1576.4166666666667,1459.0,18917
Cametá,2345.8333333333335,99.5,28150
Campestre do Maranhão,2.0,2.0,2
Campinápolis,2.0,2.0,4
Campo Novo de Rondônia,544.0,169.0,6528
Campo Novo do Parecis,2.25,1.5,18
Campo Verde,2.0,2.0,2
Campos de Júlio,7.8,2.0,39
Canabrava do Norte,1.0,1.0,1
Canarana,1.0,1.0,1
Canaã dos Carajás,3.090909090909091,3.0,34
Candeias do Jamari,2951.4166666666665,2320.5,35417
Cantanhede,27.5,27.5,55
Cantá,2291.25,2534.5,27495
Canutama,1116.0,870.5,13392
Capanema,7.2,6.0,36
Capinzal do Norte,1.0,1.0,2
Capitão Poço,9.125,6.5,73
Capixaba,25.583333333333332,8.0,307
Caracaraí,1392.5833333333333,1553.5,16711
Carauari,1124.8333333333333,920.0,13498
Careiro,1916.5833333333333,732.5,22999
Careiro da Várzea,367.6666666666667,247.5,4412
Carlinda,2.0,2.0,2
Carmolândia,1.0,1.0,1
Caroebe,181.08333333333334,159.0,2173
Carrasco Bonito,1.0,1.0,1
Carutapera,21.375,13.0,171
Caseara,8.25,6.0,33
Castanhal,4.0,3.0,28
Castanheira,6.666666666666667,2.5,40
Castanheiras,19.285714285714285,9.0,135
Caxias,4.0,1.0,28
Cedral,22.857142857142858,5.0,160
Central do Maranhão,1.5,1.5,3
Centro Novo do Maranhão,175.25,37.5,2103
Centro do Guilherme,15.0,10.0,105
Cerejeiras,3.0,2.0,18
Chapada dos Guimarães,1.2,1.0,6
Chapadinha,2.0,2.0,2
Chaves,620.5833333333334,459.0,7447
Chupinguaia,11.0,5.0,121
Cidelândia,1.0,1.0,1
Cláudia,2.25,1.5,9
Coari,4432.166666666667,3080.5,53186
Cocalinho,2.0,2.0,6
Codajás,119.41666666666667,20.5,1433
Codó,19.428571428571427,6.0,136
Colares,13.0,4.0,104
Colinas,1.0,1.0,2
Colniza,1383.0,870.5,16596
Colorado do Oeste,2.0,1.0,16
Colíder,2.375,1.0,19
Comodoro,29.444444444444443,6.0,265
Conceição do Araguaia,4.6,2.0,23
Conceição do Lago-Açu,14.0,4.0,126
Conceição do Tocantins,1.0,1.0,1
Concórdia do Pará,25.2,7.0,252
Confresa,1.5,1.5,6
Conquista D'Oeste,2.6666666666666665,3.0,8
Coroatá,29.833333333333332,15.0,179
Corumbiara,2.5,2.5,15
Costa Marques,177.83333333333334,145.0,2134
Cotriguaçu,2.875,1.5,23
Couto Magalhães,1.0,1.0,1
Cruzeiro do Sul,17388.416666666668,16627.0,208661
Cuiabá,9.272727272727273,8.0,102
Cujubim,1151.0,529.0,13812
Cumaru do Norte,32.666666666666664,20.0,392
Curionópolis,18.272727272727273,7.0,201
Curralinho,2106.5,1441.5,25278
Cururupu,2.0,2.0,6
Curuá,8.11111111111111,4.0,73
Curuçá,40.0,22.0,360
Cutias,22.0,15.0,264
Cáceres,2.375,2.0,19
Cândido Mendes,136.5,84.5,1638
Davinópolis,3.6666666666666665,3.0,11
Diamantino,1.0,1.0,2
Dom Aquino,1.0,1.0,1
Dom Eliseu,11.428571428571429,6.0,80
Dom Pedro,2.0,2.0,8
Duque Bacelar,2.5,2.5,5
Eirunepé,3634.0,3345.0,43608
Eldorado do Carajás,6.7,2.0,67
Envira,153.41666666666666,72.5,1841
Epitaciolândia,2.5,1.5,20
Esperantina,1.3333333333333333,1.0,4
Esperantinópolis,11.0,11.0,11
Espigão D'Oeste,296.6,17.5,2966
Estreito,4.666666666666667,3.0,14
Faro,155.66666666666666,55.0,1401
Feijó,20.75,8.0,249
Feliz Natal,13.2,7.0,66
Ferreira Gomes,314.9166666666667,269.0,3779
Floresta do Araguaia,2.0,1.0,6
Fonte Boa,136.83333333333334,128.0,1642
Formosa da Serra Negra,1.0,1.0,3
Fortuna,20.0,8.0,140
Garrafão do Norte,26.428571428571427,14.0,185
Gaúcha do Norte,3.5,1.5,14
General Carneiro,1.5,1.5,3
Glória D'Oeste,1.0,1.0,1
Godofredo Viana,5.666666666666667,5.0,51
Goianésia do Pará,2392.0,1650.0,26312
Gonçalves Dias,6.25,2.5,25
Governador Archer,1.6666666666666667,1.0,5
Governador Edison Lobão,1.0,1.0,1
