Municipio,mean,median,sum
Alvarães,1996.3333333333333,1762.0,23956
Amaturá,72.81818181818181,25.0,801
Anamã,39.333333333333336,7.5,472
Anori,32.81818181818182,3.0,361
Apuí,288.75,189.5,3465
Atalaia do Norte,3508.5833333333335,3304.5,42103
Autazes,1163.4166666666667,522.5,13961
Barcelos,4340.5,3941.5,52086
Barreirinha,2.75,2.0,22
Benjamin Constant,624.8333333333334,364.5,7498
Beruri,296.6666666666667,163.5,3560
Boa Vista do Ramos,7.777777777777778,3.0,70
Boca do Acre,380.25,268.5,4563
Borba,1748.75,624.5,20985
Caapiranga,492.1666666666667,132.5,5906
Canutama,1116.0,870.5,13392
Carauari,1124.8333333333333,920.0,13498
Careiro,1916.5833333333333,732.5,22999
Careiro da Várzea,367.6666666666667,247.5,4412
Coari,4432.166666666667,3080.5,53186
Codajás,119.41666666666667,20.5,1433
Eirunepé,3634.0,3345.0,43608
Envira,153.41666666666666,72.5,1841
Fonte Boa,136.75,128.0,1641
Guajará,2329.1666666666665,2053.5,27950
Humaitá,1669.5833333333333,1205.5,20035
Ipixuna,2870.25,2349.5,34443
Iranduba,1615.75,1280.5,19389
Itacoatiara,1504.5833333333333,525.5,18055
Itamarati,709.9166666666666,554.5,8519
Itapiranga,111.16666666666667,23.5,1334
Japurá,487.0,461.5,5844
Juruá,507.75,415.0,6093
Jutaí,1327.0833333333333,1220.0,15925
Lábrea,3571.9166666666665,2855.0,42863
Manacapuru,1436.0,585.0,17232
Manaquiri,157.33333333333334,104.5,1888
Manaus,13647.416666666666,10162.5,163769
Manicoré,1913.8333333333333,737.0,22966
Maraã,631.5833333333334,508.5,7579
Maués,645.25,522.5,7743
Nhamundá,230.55555555555554,84.0,2075
Nova Olinda do Norte,100.5,21.5,1206
Novo Airão,458.75,345.0,5505
Novo Aripuanã,886.3333333333334,269.5,10636
Parintins,21.416666666666668,13.5,257
Pauini,766.0833333333334,519.5,9193
Presidente Figueiredo,1657.4166666666667,1179.5,19889
Rio Preto da Eva,1422.0,1356.5,17064
Santa Isabel do Rio Negro,2308.5,1322.0,27702
Santo Antônio do Içá,1288.0833333333333,1318.5,15457
Silves,153.0,18.0,1836
São Gabriel da Cachoeira,7311.166666666667,5401.0,87734
São Paulo de Olivença,1689.1666666666667,1280.5,20270
São Sebastião do Uatumã,321.75,189.0,3861
Tabatinga,1926.0833333333333,1593.0,23113
Tapauá,2020.25,1658.5,24243
Tefé,3458.8333333333335,2367.0,41506
Tonantins,58.416666666666664,21.5,701
Uarini,1171.3333333333333,1287.0,14056
Urucará,144.33333333333334,78.0,1732
Urucurituba,3.0,1.5,24
