BR Cod Mun Infecção,NM MUN (MUNINF.csv),Year of BR Data de Notificação,Number of Records
130002,Alvarães,2018,1293
130002,Alvarães,2017,1535
130002,Alvarães,2016,522
130002,Alvarães,2015,1935
130002,Alvarães,2014,1589
130002,Alvarães,2013,2941
130002,Alvarães,2012,1980
130002,Alvarães,2011,738
130002,Alvarães,2010,1049
130002,Alvarães,2009,3140
130002,Alvarães,2008,3661
130002,Alvarães,2007,3573
130006,Amaturá,2018,6
130006,Amaturá,2017,5
130006,Amaturá,2015,17
130006,Amaturá,2014,97
130006,Amaturá,2013,195
130006,Amaturá,2012,81
130006,Amaturá,2011,15
130006,Amaturá,2010,25
130006,Amaturá,2009,195
130006,Amaturá,2008,14
130006,Amaturá,2007,151
130008,Anamã,2018,7
130008,Anamã,2017,1
130008,Anamã,2016,7
130008,Anamã,2015,3
130008,Anamã,2014,8
130008,Anamã,2013,5
130008,Anamã,2012,2
130008,Anamã,2011,19
130008,Anamã,2010,8
130008,Anamã,2009,16
130008,Anamã,2008,47
130008,Anamã,2007,349
130010,Anori,2018,2
130010,Anori,2016,2
130010,Anori,2015,3
130010,Anori,2014,2
130010,Anori,2013,3
130010,Anori,2012,10
130010,Anori,2011,3
130010,Anori,2010,9
130010,Anori,2009,9
130010,Anori,2008,9
130010,Anori,2007,309
130014,Apuí,2018,63
130014,Apuí,2017,185
130014,Apuí,2016,37
130014,Apuí,2015,39
130014,Apuí,2014,65
130014,Apuí,2013,189
130014,Apuí,2012,190
130014,Apuí,2011,190
130014,Apuí,2010,232
130014,Apuí,2009,283
130014,Apuí,2008,641
130014,Apuí,2007,1351
130020,Atalaia do Norte,2018,2163
130020,Atalaia do Norte,2017,1827
130020,Atalaia do Norte,2016,2294
130020,Atalaia do Norte,2015,3135
130020,Atalaia do Norte,2014,3073
130020,Atalaia do Norte,2013,3931
130020,Atalaia do Norte,2012,5723
130020,Atalaia do Norte,2011,2754
130020,Atalaia do Norte,2010,3474
130020,Atalaia do Norte,2009,4597
130020,Atalaia do Norte,2008,5055
130020,Atalaia do Norte,2007,4077
130030,Autazes,2018,289
130030,Autazes,2017,621
130030,Autazes,2016,63
130030,Autazes,2015,99
130030,Autazes,2014,398
130030,Autazes,2013,226
130030,Autazes,2012,627
130030,Autazes,2011,452
130030,Autazes,2010,593
130030,Autazes,2009,1536
130030,Autazes,2008,2893
130030,Autazes,2007,6164
130040,Barcelos,2018,6419
130040,Barcelos,2017,8379
130040,Barcelos,2016,3952
130040,Barcelos,2015,4361
130040,Barcelos,2014,3931
130040,Barcelos,2013,2456
130040,Barcelos,2012,2432
130040,Barcelos,2011,2178
130040,Barcelos,2010,3289
130040,Barcelos,2009,3205
130040,Barcelos,2008,4154
130040,Barcelos,2007,7330
130050,Barreirinha,2018,1
130050,Barreirinha,2017,5
130050,Barreirinha,2016,1
130050,Barreirinha,2015,1
130050,Barreirinha,2012,1
130050,Barreirinha,2010,3
130050,Barreirinha,2008,3
130050,Barreirinha,2007,7
130060,Benjamin Constant,2018,54
130060,Benjamin Constant,2017,120
130060,Benjamin Constant,2016,298
130060,Benjamin Constant,2015,1207
130060,Benjamin Constant,2014,475
130060,Benjamin Constant,2013,1743
